"langs","codes","fams","scripts","word.len","word.size","char.len","char.size","char.h0","char.h1","char.H2","char.h2","char.H3","char.h3","word.mawe10000.h0","word.mawe10000.h1","word.mawe10000.H2","word.mawe10000.h2","word.mawe10000.H3","word.mawe10000.h3","mattr500","mattr1000","mattr2000","word1","word2","word3","word4","word5","word1.prop","word2.prop","word5.prop","word10.prop","word25.prop","word50.prop","word100.prop","beta","beta.error","beta.100","beta.100.error"
"PIII Cipher 10 columns used","pIII10c","Trithemian","Latin",70796,231,430179,18,4.16992500144231,3.65243911464689,5.85909511428056,2.20665599963368,7.30503736413799,1.44594224985743,7.72353553217204,7.26528856581485,12.1218638997416,4.85657533392679,12.8117208053463,0.689856905604637,0.323114198705748,0.186607473989667,0.104559184812954,"adum","madu","abru","loru","pasu",0.0187581219277925,0.0184332448160913,0.0918554720605684,0.179826543872535,0.32143058929883,0.492810328267134,0.767896491327194,-0.338156679062946,0.00818778437359208,-0.428087734821508,0.0210631711601654
"PIII Cipher 24 columns used","pIII24c","Trithemian","Latin",70796,537,427714,20,4.32192809488736,3.82885099727678,6.29715260195924,2.46830160468245,7.99294951561208,1.69579691365284,8.92093376134998,8.47541932853395,12.6676052469967,4.19218591846279,12.8293449798149,0.161739732818197,0.538932622763609,0.364738622690919,0.223498394751535,"masaru","medu","phu","mesu","madu",0.00812192779253065,0.00785355104808181,0.0392677552404091,0.0774761285948359,0.184812701282558,0.290383637493644,0.441041866772134,-0.283145402860599,0.00470264647604201,-0.336012567673175,0.0238868364085625
"PIII Cipher 131 (all) columns used","pIII131c","Trithemian","Latin",70796,2556,459762,23,4.52356195605701,4.00303856762328,6.90153465495866,2.89849608733538,9.20482800866428,2.30329335370562,10.8612633345178,10.4740450489874,12.8225487587217,2.34850370973424,12.830620234866,0.00807147614430037,0.852250285496764,0.742672375964329,0.596298297040759,"medu","pasu","holum","gomur","dru",0.00418102717667665,0.00290976891349794,0.0148172213119385,0.0244222837448443,0.0486750663879315,0.0862901858862083,0.155192383750494,-0.351518155663938,0.00126736700920207,-0.768622248139062,0.00893575194677398
